index,European,Asian,Other/Mixed,African Am./Caribbean,Hispanic/Latin American,African
2007,93.33333333333333,3.3333333333333335,2.2222222222222223,0.0,1.1111111111111112,0.0
2008,85.63829787234043,4.787234042553192,4.787234042553192,3.723404255319149,1.0638297872340425,0.0
2009,73.52941176470588,12.5,6.25,4.411764705882353,2.2058823529411766,1.1029411764705883
2010,65.87677725118483,18.246445497630333,5.924170616113744,5.687203791469194,2.3696682464454977,1.8957345971563981
2011,61.44329896907217,22.88659793814433,3.0927835051546393,8.45360824742268,1.6494845360824744,2.4742268041237114
2012,59.578544061302686,20.49808429118774,4.022988505747127,10.919540229885058,4.022988505747127,0.9578544061302682
2013,57.42904841402338,24.540901502504173,4.507512520868113,7.512520868113523,5.008347245409015,1.001669449081803
2014,56.98729582577132,22.50453720508167,5.807622504537205,7.6225045372050815,5.081669691470054,1.9963702359346642
2015,56.83646112600537,18.900804289544233,6.970509383378016,7.104557640750671,7.506702412868632,2.680965147453083
2016,60.0,15.806451612903224,2.043010752688172,11.397849462365592,7.956989247311828,2.795698924731183
2017,56.351351351351354,18.10810810810811,5.405405405405405,8.85135135135135,8.64864864864865,2.635135135135135
2018,53.407755581668624,24.676850763807284,5.346650998824912,7.638072855464159,5.405405405405405,3.525264394829612
2019,49.78165938864629,18.44978165938865,8.406113537117903,10.698689956331878,10.58951965065502,2.074235807860262
